playername,team,maps_played,kills,deaths,hs_pct,adr,kd_ratio,impact,rating
DeeP,,9.0,18.33,25.11,,0.0,0.73,0.79,0.75
Kezza,,35.0,19.54,29.61,,0.0,0.66,0.79,0.7
Hazel,,5.0,22.0,28.95,,0.0,0.76,0.79,0.77
duggy,,5.0,20.2,26.93,,0.0,0.75,0.79,0.76
Sofiaxyz,,7.0,18.43,27.92,,0.0,0.66,0.79,0.7
nerri,,5.0,18.8,30.82,,0.0,0.61,0.79,0.66
samee,,5.0,20.0,25.97,,0.0,0.77,0.79,0.78
smiley,,5.0,20.4,29.57,,0.0,0.69,0.79,0.72
stesso,,10.0,18.1,26.62,,0.0,0.68,0.79,0.71
talkzyn,,9.0,22.11,29.88,,0.0,0.74,0.78,0.75
KUN,,9.0,18.67,30.61,,0.0,0.61,0.78,0.66
Chinokun,,5.0,21.8,29.07,,0.0,0.75,0.78,0.76
Tylert69,,5.0,24.6,37.27,,0.0,0.66,0.78,0.7
No1r,,5.0,19.8,27.12,,0.0,0.73,0.78,0.74
niki1,,10.0,22.8,33.04,,0.0,0.69,0.78,0.72
Stoynes,,9.0,24.22,33.64,,0.0,0.72,0.78,0.74
doltn,,11.0,20.45,30.98,,0.0,0.66,0.78,0.7
tronic,,5.0,26.0,36.11,,0.0,0.72,0.78,0.74
tw1nkl3,,8.0,18.62,27.79,,0.0,0.67,0.78,0.7
versa,,11.0,21.82,33.57,,0.0,0.65,0.78,0.69
P4nc4ke,,8.0,21.62,32.76,,0.0,0.66,0.78,0.7
zAAz,,10.0,19.7,29.4,,0.0,0.67,0.78,0.7
k1leT,,6.0,21.17,30.68,,0.0,0.69,0.78,0.72
Kuma,,10.0,20.9,29.86,,0.0,0.7,0.78,0.72
SecretAgent,,25.0,21.08,30.55,,0.0,0.69,0.77,0.71
FOKUSSS,,9.0,21.89,33.17,,0.0,0.66,0.77,0.69
BabyRage,,11.0,17.0,27.42,,0.0,0.62,0.77,0.66
pr01,,9.0,18.44,25.97,,0.0,0.71,0.77,0.73
SUPAHSAYA,,7.0,21.43,32.47,,0.0,0.66,0.77,0.69
rox,,5.0,20.2,26.93,,0.0,0.75,0.77,0.76
Jachro,,19.0,20.89,32.14,,0.0,0.65,0.77,0.69
Dani,,9.0,19.33,28.43,,0.0,0.68,0.77,0.71
floyd,,11.0,22.73,36.08,,0.0,0.63,0.77,0.67
Perpetuo,,7.0,19.0,30.16,,0.0,0.63,0.77,0.67
cheeseball,,6.0,21.33,32.32,,0.0,0.66,0.77,0.69
peqexino,,15.0,20.47,30.55,,0.0,0.67,0.77,0.7
GaBi,,9.0,19.33,25.77,,0.0,0.75,0.77,0.76
godkU,,11.0,22.55,33.16,,0.0,0.68,0.77,0.71
rev,,7.0,22.0,31.88,,0.0,0.69,0.77,0.71
wastzera,,12.0,18.5,27.21,,0.0,0.68,0.77,0.71
Ruy2k,,5.0,18.0,24.66,,0.0,0.73,0.77,0.74
Nivek1ng,,7.0,18.29,28.14,,0.0,0.65,0.76,0.68
chrizm,,8.0,19.0,27.94,,0.0,0.68,0.76,0.7
Kossu72,,9.0,21.56,32.67,,0.0,0.66,0.76,0.69
str0ngl,,6.0,19.83,33.05,,0.0,0.6,0.76,0.65
NoVa,,5.0,20.4,28.33,,0.0,0.72,0.76,0.73
vtnn,,12.0,18.83,28.1,,0.0,0.67,0.76,0.7
kidofpain,,5.0,22.0,29.33,,0.0,0.75,0.76,0.75
zockie,,16.0,18.5,28.46,,0.0,0.65,0.76,0.68
Nem1za,,7.0,19.43,31.34,,0.0,0.62,0.76,0.66
k4zmo,,15.0,21.27,29.54,,0.0,0.72,0.76,0.73
Snoob,,11.0,20.09,27.52,,0.0,0.73,0.76,0.74
bokor,,7.0,18.57,29.02,,0.0,0.64,0.76,0.68
TeXaSs,,10.0,17.6,25.51,,0.0,0.69,0.76,0.71
L1nkero,,13.0,22.54,33.64,,0.0,0.67,0.76,0.7
Rigi,,9.0,19.22,29.57,,0.0,0.65,0.76,0.68
Kos,,7.0,15.71,23.45,,0.0,0.67,0.76,0.7
rayqu4za,,5.0,18.8,29.84,,0.0,0.63,0.76,0.67
red1many,,11.0,20.09,29.54,,0.0,0.68,0.76,0.7
REL,,18.0,21.72,31.94,,0.0,0.68,0.75,0.7
rain,,6.0,22.5,33.09,,0.0,0.68,0.75,0.7
zBanss,,5.0,17.2,30.71,,0.0,0.56,0.75,0.62
sanc,,9.0,20.67,30.4,,0.0,0.68,0.75,0.7
zy,,8.0,19.88,29.67,,0.0,0.67,0.75,0.69
Fezera,,5.0,20.8,33.02,,0.0,0.63,0.75,0.67
heis999,,31.0,20.03,32.31,,0.0,0.62,0.75,0.66
aaronsfury,,5.0,20.4,29.57,,0.0,0.69,0.75,0.71
davd,,5.0,19.2,30.48,,0.0,0.63,0.75,0.67
Zhenn,,5.0,20.4,30.0,,0.0,0.68,0.75,0.7
Slayerhz,,16.0,18.5,27.61,,0.0,0.67,0.75,0.69
cz1k4,,7.0,22.0,32.35,,0.0,0.68,0.75,0.7
rosen,,18.0,19.94,29.32,,0.0,0.68,0.74,0.7
web sun,,24.0,22.17,32.6,,0.0,0.68,0.74,0.7
